screen_id,module,route,screen_name,purpose,primary_roles,priority,key_widgets,primary_actions,authoritative_data,empty_failure_states,responsive_behaviour,minimum_acceptance_tests
STK-001,Stocks,/dashboard/stocks,Stock explorer,"Search any supported stock and review price, data quality, strategy coverage and recent decisions.",All analysts,P0,Search; filters; watchlists; compact market cards; strategy badges,Open Stock 360; quick backtest; add watchlist,Instrument master; latest quote; feature snapshots,Unknown alias; delisted/suspended; missing minute data,Virtualised list; mobile cards,Alias resolution; pagination; unsupported symbol
STK-002,Stocks,/dashboard/stocks/:symbol,Stock 360,"Provide one coherent stock-level view across price, fundamentals/context, OIIS, strategies, events, futures/options and historical outcomes.",Trader; researcher; reviewer,P0,Candles; indicators; O/X; regime; events; target ladders; recent backtests; derivatives availability,Run quick/advanced backtest; open derivatives; paper trade; compare,Daily/minute OHLCV; features; decisions; events; derivative facts,Stale quote; corporate action unresolved; no F&O; partial history,Chart first; lower panels collapse on mobile,Point-in-time evidence; lazy minute load; cross-tab identity
STK-003,Stocks,/dashboard/watchlists,Watchlists and revalidation,"Maintain reasoned watchlists with expiry, source decision, upgrade conditions and current revalidation.",Trader; researcher,P1,Lists; reason; state transition; expiry; alert rule,Create list; add/remove; revalidate; export,Watchlist versions; live decisions,Decision expired; symbol inactive; stale revalidation,Table desktop; cards mobile,State transition; permission; stale badge
STR-001,Strategies,/dashboard/strategy-lab/strategies,Strategy catalogue,"List strategy families, immutable versions, validation status, ownership and permitted instruments.",Researcher; admin; reviewer,P0,Catalogue; filters; version status; instrument badges; validation gates; run counts,Open; fork; compare; deprecate with reason,Strategy/version registry; validation results,Missing implementation; incompatible version; deprecated dependency,Responsive table; compact cards,Version immutability; role controls; zero-run strategy
STR-002,Strategies,/dashboard/strategy-lab/strategies/:versionId,Strategy detail,"Explain exact rule, entry ownership, exit policy, costs, capital, data prerequisites and validation evidence.",Researcher; reviewer,P0,Plain rule; JSON/YAML; parameters; dependencies; test status; run history; P-Diagram,Fork; run; compare; export contract,Strategy registry; config; tests; policies,Unresolved policy; missing data source; invalid configuration,Tabbed detail,Schema validation; policy resolution; hash display
STR-003,Strategies,/dashboard/strategy-lab/oiis-studio/:versionId,OIIS strategy studio,"Expose OIIS components, thresholds, hard gates, horizons and outputs without conflating daily screening with entry permission.",Quant researcher; admin,P0,OFactor/XFactor editors; locked control values; component metadata; direction/horizon; diff; validation,Fork research version; save draft; validate; run DOE,OIIS formula/config registry,Weights do not sum; mandatory component missing; gate conflict; unsupported horizon,Three-pane desktop; sequential mobile,Canonical lock; long/short independence; threshold ordering
STR-004,Strategies,/dashboard/strategy-lab/composer,Visual combination strategy builder,Create modular AND/OR combinations from approved strategy blocks while preserving deterministic JSON and version identity.,Quant researcher,P1,Node canvas; condition groups; timeframe; universe; entry/exit policy; validation; generated JSON,Add block; group; simulate; save draft; publish version,Strategy block catalogue; schemas; policy registry,Circular logic; incompatible timeframe; missing exit; unbounded expression,Canvas desktop; list editor fallback mobile,Cycle detection; deterministic serialisation; undo/redo; accessibility fallback
STR-005,Strategies,/dashboard/strategy-lab/composer/code,Advanced rule editor,"Allow controlled YAML/JSON editing with schema, lint and visual diff for expert users.",Quant researcher; developer,P2,Code editor; schema errors; preview; diff; generated test cases,Validate; format; apply to draft,Versioned schema; block catalogue,Parse error; unknown field; unsafe expression; policy mismatch,Desktop-only recommended; read-only mobile,Round-trip composer parity; invalid input; no code execution in browser
BT-001,Backtesting,/dashboard/strategy-lab,Backtesting hub,"Summarise strategy portfolio, recent runs, alerts, validation blockers and quick-start actions.",Researcher; reviewer,P0,Recent runs; statuses; strategy cards; alerts; data-health summary; quick backtest,New run; resume; compare; open report,Run registry; strategies; data quality,No runs; worker unavailable; stale data quality,Dashboard cards; mobile prioritises actions,Empty state; status reconciliation; access control
BT-002,Backtesting,/dashboard/strategy-lab/quick,Quick single-stock backtest,Run a governed test for any one stock with minimal fields and explicit assumptions.,Trader; researcher,P0,Symbol; strategy version; dates; timeframe; capital; cost profile; data preflight,Validate; run; open advanced builder,Instrument master; strategy registry; data coverage,Unsupported symbol; no coverage; invalid date; strategy incompatible,Single-column form mobile,Validation; no silent defaults; duplicate submission
BT-003,Backtesting,/dashboard/strategy-lab/run,Advanced backtest wizard,"Configure strategy, universe, point-in-time data, execution, capital, costs, benchmarks, validation and outputs.",Quant researcher,P0,Seven-step wizard; identity summary; preflight; draft autosave; review page,Save draft; validate step; start run,Server-side config schemas; coverage APIs; policy registry,Data gap; universe leakage; cost uncertified; invalid capital; config mismatch,Stepper becomes accordion mobile,All gates; resume draft; exact run identity; safe cancellation
BT-004,Backtesting,/dashboard/strategy-lab/runs,Runs and monitor list,"Monitor queued/running/completed/failed/cancelled runs and expose progress, ETA, warnings and restart state.",Researcher; operator,P0,Run table; progress; worker/shard status; filters; warnings; retry eligibility,Open; pause/cancel if safe; resume; clone configuration,Run/job registry; worker telemetry,Worker lost; heartbeat stale; partial shard; cancelled; retry not safe,Virtualised table; mobile cards,State machine; restart idempotency; no duplicate results
BT-005,Backtesting,/dashboard/strategy-lab/runs/:runId,Single-run result shell,"Present trust, economics, risk, explanation, stability and action in a fixed eight-tab evidence sequence.",Reviewer; researcher; management,P0,Sticky identity/validation strip; eight tabs; compare/export,Change tab; deep link; compare; export,Server-authoritative result DTOs,Partial run; provisional costs; zero trades; failed validation; censored positions,Tabs scroll; summary cards stack,URL state; counts reconcile; failure states visible
BT-006,Backtesting,/dashboard/strategy-lab/runs/:runId?tab=summary,Run summary,"Give a two-minute answer: trustworthy, profitable after friction, risk bounded, where it works and what action is justified.",All reviewers,P0,Verdict; Good/Bad/Ugly; KPI cards; equal-capital benchmarks; cost waterfall; positive/negative timeline,Open evidence; compare; export,Run summary; benchmarks; costs; validation,No verdict inputs; incomplete capital; benchmark unavailable,Cards stack; chart simplification,Gross/net distinction; benchmark parity; no false winner
BT-007,Backtesting,/dashboard/strategy-lab/runs/:runId?tab=performance,Performance,"Explain equity, drawdown, monthly returns, expectancy, target ladders, holding and capital efficiency.",Researcher; financial analyst,P0,Equity/drawdown; monthly heatmap; trade distribution; target/adverse ladders; capital-days,Brush period; choose gross/net; open trade cohort,Daily equity; trades; ladder events,Zero trades; open positions; censored horizon; sparse months,Linked charts; mobile limits series,No first-ladder exit error; event ordering; censored labels
BT-008,Backtesting,/dashboard/strategy-lab/runs/:runId?tab=trades,Trade explorer within run,"Inspect every signal, skip, entry, target, adverse event, exit/update and open position.",Researcher; auditor,P0,Trade table; signal/skipped tables; filters; status; MFE/MAE; holding; P&L,Open replay; export cohort; compare symbols,Signals; skipped ledger; trades; events,Missing minute data; no next open; duplicate; capital rejection; open at end,Virtualised grid; detail drawer,Signals-to-trades reconciliation; skip reason; open NLV
BT-009,Backtesting,/dashboard/strategy-lab/runs/:runId?tab=stocks,Stocks and sectors,"Show contribution, breadth, concentration, heatmaps, sector dependence and symbol consistency.",Researcher; reviewer,P0,Symbol/sector heatmaps; contribution; hit breadth; concentration; sample labels,Open stock; filter sector; exclude for sensitivity,Stock/sector summaries; PIT mapping,Latest-only sector map; low sample; no coverage,Heatmap with table fallback,Scale and sample visible; PIT mapping; no hidden missing values
BT-010,Backtesting,/dashboard/strategy-lab/runs/:runId?tab=risk,Risk and robustness,"Evaluate drawdown, tail loss, path risk, cost/slippage stress, parameter stability and capital lock.",Risk manager; researcher,P0,Drawdown; MAE tails; underwater; sensitivity; robustness plateau; stress table,Select stress; open cohort; compare configuration,Risk summaries; stress runs; H30 paths,Insufficient sample; stress missing; unstable neighbourhood,Charts stack; table first mobile,Tail metrics; cost stress; delayed entry; neighbour stability
BT-011,Backtesting,/dashboard/strategy-lab/runs/:runId?tab=regimes,Market and regimes,"Explain when a strategy works across NIFTY/stock direction, VIX, breadth, sectors, events, time and expiry proximity.",Researcher; reviewer,P0,Regime matrix; event shocks; time-of-day; VIX; liquidity; monthly consistency,Open cohort; compare regime; export,Regime/event facts; trade cohorts,Regime cell below sample minimum; missing VIX; event overlap,Heatmaps scroll; table fallback,Sample gating; named shock as context not causal claim
BT-012,Backtesting,/dashboard/strategy-lab/runs/:runId?tab=explain,Explainability,"Reconstruct strategy logic, decision funnel, factor values and controls for the run and selected trade.",Researcher; auditor,P0,Decision funnel; P-Diagram; component contributions; rejection reasons; formula versions,Select trade; open source; export evidence,Decision matrix; config/formula hashes,Component missing; static factor; contradictory gate,Master-detail; text fallback,No browser-side business calculation; full traceability
BT-013,Backtesting,/dashboard/strategy-lab/runs/:runId?tab=audit,Audit and data,"Establish admissibility through engine, data, coverage, economics, portfolio, model and research gates.",Auditor; operator; researcher,P0,Validation gates; requested/actual coverage; lineage; snapshots; hashes; runtime; artifacts; logs,Open artifact; rerun failed shard; download manifest,Run validations; source identities; artifacts,Missing hash; partial session; migration mismatch; artifact absent,Dense tables with horizontal scroll,A completed run may still fail research; all totals reconcile
BT-014,Backtesting,/dashboard/strategy-lab/runs/:runId/trades/:tradeId,Trade replay and evidence,"Replay candles, completed trigger, next-bar fill, target/adverse order, diagnostics and context without look-ahead.",Researcher; auditor; trader,P0,Candles; trigger/fill; target/adverse ladder; event timeline; O/X; position state; H30 strip,Step bars; toggle evidence; open decision/P-Diagram,Minute/daily bars; trade events; decision matrix,Missing bars; ambiguous intrabar order; corporate action; open/censored,Desktop replay; mobile read-only summary,No signal-candle leakage; gap-open ordering; event timestamp accuracy
BT-015,Backtesting,/dashboard/strategy-lab/trades,Cross-run trade explorer,Search stock and trade evidence across compatible runs without losing run identity.,Researcher; auditor,P1,Global trade table; run/version filters; symbol/date/regime filters,Open replay; save cohort; export,Cross-run trade mart,Incompatible economics; duplicate event identity,Virtualised grid,Compatibility label; pagination; deep links
BT-016,Backtesting,/dashboard/strategy-lab/comparisons,Comparison builder,Select runs and test compatibility before any ranking or winner language appears.,Researcher; reviewer,P0,Run picker; identity diff; compatibility gates; reason list,Create comparison; view-only incompatible runs,Run identities; validation; policies,Different snapshots/universe/capital/fees/execution; failed run,Wizard mobile,Material incompatibility removes rank; explicit override impossible
BT-017,Backtesting,/dashboard/strategy-lab/comparisons/:comparisonId,Comparison workspace,"Compare compatible strategies through transparent economics, risk, robustness, breadth, friction and runtime leaderboards.",Management; researcher; reviewer,P0,Compatibility banner; multiple leaderboards; equity overlay; sector matrix; parameter stability,Change leaderboard; open run; export,Comparison DTO; compatible run marts,Not comparable; zero-trade strategy; low sample; missing benchmark,Tables first; overlays simplified mobile,No opaque best score; zero-trade remains visible; ranks reconcile
BT-018,Backtesting,/dashboard/strategy-lab/reports,Reports and evidence packs,"Generate controlled DOCX/PDF/ZIP/CSV/Parquet exports with run identity, limitations and manifests.",Researcher; reviewer; operator,P1,Report catalogue; export job status; artifact list; expiry,Generate; download; revoke link,Artifact registry; export jobs,Renderer failed; artifact missing; partial export; access denied,Responsive list,Export totals reconcile; no secrets; signed manifest when supported
DOE-001,Research DOE,/dashboard/strategy-lab/doe,Factor and experiment lab,"Govern component ablations, interactions, weights, gates, thresholds, folds, regimes and finite-capital trials.",Quant researcher; auditor,P0,Experiment plan; validation banner; trial status; factor catalogue; response selection,Create plan; run allowed trial; freeze design; open ledger,Experiment/trial registry; decision matrix,Design incomplete; holdout touched; insufficient sample; blocked factor,Desktop analytical layout; read-only mobile,Canonical control included; Tier A/B independent; holdout protection
DOE-002,Research DOE,/dashboard/strategy-lab/doe/effects,Factor effects,"Show Layer A candidate, Layer B conditional-entry and Layer C joint-strategy effects separately with causal/descriptive labels.",Quant researcher,P0,Effect plot; confidence/stability; response selector; layer selector; regime breakdown,Open trial pair; export; flag redundancy,Trial effects; event outcomes,Only aggregate scores; missing component rerun; low effective sample,Chart plus table,No causal claim from correlation; layer separation
DOE-003,Research DOE,/dashboard/strategy-lab/doe/interactions,Interaction and redundancy map,"Expose duplicate/static components, interactions and cluster experiments before weight optimisation.",Quant researcher,P1,Correlation/redundancy map; 2x2 interaction; cluster tests; static factor warnings,Open component; schedule experiment,Component samples; trial matrix,Constant component; identical proxy; sparse interaction cell,Heatmap plus accessible matrix,SIS/TCS; LTS/LSQ; cluster test fixtures
DOE-004,Research DOE,/dashboard/strategy-lab/doe/frontiers,Quantity-quality and capital frontiers,"Visualise Pareto trade-offs among trade count, clean target, MFE/MAE, D+5, capital-days, drawdown and net economics.",Quant researcher; management,P1,Pareto plot; finite-capital overlays; confidence intervals; selected configuration card,Select point; compare neighbours; export,Trial result vectors; portfolio runs,Dominated all trials; open NLV; provisional costs,Chart and sortable table,Effective sample intervals; no single-metric winner
DOE-005,Research DOE,/dashboard/strategy-lab/doe/thresholds,Threshold surfaces and robustness plateau,"Test OFactor, XFactor Tier B and Tier A independently and identify broad stable regions rather than sharp optima.",Quant researcher,P1,Response surface; slice controls; canonical point; neighbour stability; fold selector,Pin candidate; open trials; compare folds,Threshold DOE trials,Sparse surface; Tier A≤Tier B; holdout leakage,Desktop first; table fallback,O74/X76/X84 included; no fixed +8 assumption
DOE-006,Research DOE,/dashboard/strategy-lab/doe/trials,Immutable trial ledger,"Retain successful, failed, rejected and poor trials with exact identities, reasons and full result vector.",Researcher; auditor,P0,Ledger; config/data/code hashes; fold/regime; status; failure reason; artifacts,Open; clone as new trial; export,Trial registry; artifacts,Missing identity; incomplete output; failed shard; rejected design,Virtualised grid,No deletion; exact identity; failed trial visibility
DQ-001,Data Quality,/dashboard/strategy-lab/data-quality,Data quality control centre,"Show source coverage, freshness, consistency, point-in-time universe, corporate actions, quarantine and admission status.",Data engineer; researcher; operator,P0,Coverage matrix; freshness; gaps; source families; PIT membership; corporate actions; quarantine,Open issue; rerun qualification; export gap list,Data qualification tables; source inventory,Source unavailable; stale; unknown family; unresolved timestamp; survivorship risk,Dense responsive tables,Missing minute becomes skipped signal; no silent admission
DQ-002,Data Quality,/dashboard/strategy-lab/data-quality/symbols/:symbol,Symbol-date coverage,"Explain exactly which sessions/intervals are present, partial, quarantined or adjusted for one symbol.",Data engineer; researcher,P1,Calendar heatmap; interval coverage; corporate actions; basis checks; aliases,Requalify; open source record,Bars; calendars; actions; aliases,Partial session; zero OHLCV; split mismatch; alias gap,Calendar scroll; list mobile,Session counts; adjustment identity; timezone
OPT-001,Options,/dashboard/options,Options market overview,"Show optionable underlyings, expiry health, IV regime, liquidity and OIIS-qualified opportunities.",Options trader; researcher,P1,Underlying rank; expiry cards; IV/OI map; data freshness; contract rejects,Open workbench; run option backtest,Options chain/snapshots; OIIS decisions,Chain stale; missing Greeks; illiquid contracts; market closed,Table/card hybrid,Underlying qualification separate from contract quality
OPT-002,Options,/dashboard/options/:underlying,Options workbench,"Analyse chain, strikes, Greeks, spread/depth, payoff and contract quality after underlying qualification.",Options trader; risk reviewer,P1,Chain grid; expiry/strike filters; Greeks; OI/volume; contract gate; payoff builder,Select contract; build spread; paper ticket; backtest,Options snapshots; underlying decision; cost/margin profiles,Poor contract; no alternative; stale chain; expiry unsupported,Wide grid horizontal; mobile summary only,Contract rejection does not reject underlying; quote freshness
OPT-003,Options,/dashboard/strategy-lab/options/run,Options backtest builder,Backtest versioned option selection and payoff rules against historical chain availability.,Quant researcher; options trader,P2,Underlying strategy; expiry/strike rule; fill/slippage; Greeks; capital/margin; data coverage,Validate; run,Historical option chain; selection policy,No historical chain; survivorship strikes; spread unavailable,Wizard,No synthetic fill without label; contract identity; expiry calendar
FUT-001,Futures,/dashboard/futures,Futures market overview,"Show contracts, basis, OI, volume, expiry and OIIS alignment.",Futures trader; researcher,P1,Contract rank; basis/OI; roll calendar; liquidity; data freshness,Open workbench; run test,Futures facts; decisions,Contract stale; roll mapping missing; margin unavailable,Responsive table,Expiry identity; basis formula; no cash-policy reuse
FUT-002,Futures,/dashboard/futures/:underlying,Futures workbench,"Analyse spot-futures basis, OI build-up, contract liquidity, margin, rollover and strategy evidence.",Futures trader; risk reviewer,P1,Price/OI chart; contract intelligence; calendar; margin; risk gates,Paper ticket; run futures backtest,Futures quotes/OI; contract master; margin profile,Expiry near; roll risk; insufficient liquidity; stale OI,Two-column; mobile summary,Contract/expiry exactness; margin-aware capital; no silent roll
FUT-003,Futures,/dashboard/strategy-lab/futures/run,Futures backtest builder,"Run a dedicated, versioned futures policy with margin, roll and expiry rules.",Quant researcher,P2,Underlying strategy; futures confirmation; roll rule; margin; costs; fill,Validate; run,Historical futures; policy registry,Missing roll; no next contract; margin model uncertified,Wizard,Policy isolation; roll event ordering; finite capital
PT-001,Paper Trading,/dashboard/paper-trading,Paper trading dashboard,"Show daily paper performance, active slots, orders, positions, targets, drawdown and notification health.",Trader; operator; reviewer,P0,Mode banner; capital/slots; positions; order state; daily summary; webhook health,New ticket; open position; reconcile; close only by policy,Paper order ledger; marks; notifications,Market data stale; webhook fail; position mismatch; source end open,Responsive dashboard,No live authority; mark-to-market; daily reconciliation
PT-002,Paper Trading,/dashboard/paper-trading/ticket,Paper entry ticket,Create a paper order only from an eligible strategy decision and risk-approved position plan.,Trader,P0,Decision identity; instrument; quantity; fill model; targets; hard gates; risk; confirmation,Submit paper order; save draft,Decision snapshot; position sizing; paper ledger,Decision stale; hard gate; capital slot unavailable; duplicate order,Form stacks mobile,Idempotency; stale decision rejection; exact targets
PT-003,Paper Trading,/dashboard/paper-trading/orders,Paper orders,"Track intent, validation, simulated submission, acknowledgement, fill, modification/cancel eligibility and reconciliation.",Trader; operator,P0,Order state table; idempotency key; timestamps; reasons; reconciliation,Open order; cancel if policy permits; retry notification,Paper order ledger; outbox/inbox,Duplicate; outbox backlog; no fill price; state divergence,Virtualised table,State machine; duplicate prevention; restart recovery
PT-004,Paper Trading,/dashboard/paper-trading/positions/:positionId,Paper position evidence,"Monitor targets and diagnostics independently, capital occupancy, mark-to-market and exit/update contract.",Trader; reviewer,P0,Entry; current mark; target ladder; adverse ladder; MFE/MAE; capital-days; events,Open replay; export; add note,Position/trade events; bars; marks,Source end open; missing mark; target ambiguity; stale data,Master-detail,No exit at first diagnostic target; open NLV; event ordering
NTF-001,Notifications,/dashboard/notifications,Notifications and tasks,"Group trade updates, data/operations alerts, announcements and user-owned tasks with deep links and acknowledgement.",All,P1,Notification groups; tasks; filters; unread counts; delivery state,Open; acknowledge; mute rule; dismiss permitted,Notification store; task assignments,Delivery fail; stale deep link; permission changed,Drawer desktop; full page mobile,Group counts; read state per user; retry state
OPS-001,Operations,/dashboard/operations,Operations overview,"Give operators one view of Nginx, frontend, APIs, workers, SmartAPI adapter, PostgreSQL, queues, data feeds and backups.",Operator; admin,P0,Service health; readiness; latency; resource use; queue lag; feed age; backup status,Open service; run safe diagnostic; acknowledge incident,Health/metrics; deployment registry,Dependency down; partial outage; unknown health; backup stale,Responsive cards,Health semantics; no secret exposure; degraded mode
OPS-002,Operations,/dashboard/operations/incidents/:incidentId,Incident detail,"Correlate alerts, logs, traces, deployment changes, affected jobs and recovery actions.",Operator; admin; auditor,P1,Timeline; affected services; evidence; runbook; actions; audit,Execute allowed runbook; add note; close incident,Incident/audit/log indexes,Logs unavailable; action failed; incident duplicate,Timeline stacks,Permissioned actions; audit; correlation IDs
OPS-003,Operations,/dashboard/operations/deployments,Deployments and rollback,"Show release identity, migration state, preflight, smoke tests, data preservation and rollback eligibility.",Operator; admin,P0,Release list; gates; migration; data signatures; smoke tests; rollback status,Preflight; deploy staged; rollback with reason,Deployment registry; tests; DB signatures,Backup unverified; migration fail; smoke fail; rollback blocked,Table plus detail,No deploy without backup/restore proof; rollback test
ADM-001,Administration,/dashboard/admin,Administration hub,"Provide role-aware tiles for users, roles, strategy governance, configurations, instruments, integrations, audit and system settings.",Admin,P0,Admin tile catalogue; warnings; counts; recent changes,Open module,Admin APIs,Insufficient role; config health unknown,Tile grid,Role visibility; no direct secret display
ADM-002,Administration,/dashboard/admin/users,Users and access,"Manage Google identities, local break-glass admin, roles, status and session revocation.",Admin,P0,User table; provider; roles; last login; status; sessions,Invite; role change; disable; revoke session,Identity/RBAC/audit,Duplicate email; last admin removal; unverified domain; session revoke fail,Responsive table,Backend RBAC; audit; last-admin guard
ADM-003,Administration,/dashboard/admin/configuration,Configuration registry,"Manage typed deployment and runtime configuration with version, validation, diff, approval and rollback.",Admin; operator; quant lead,P0,Config list; schema; diff; environment; approval; rollout,Create version; validate; approve; rollback,Config registry; schemas; audit,Secret in config; invalid schema; incompatible rollout; stale editor,Three-pane desktop,No secret values; optimistic lock; rollback
ADM-004,Administration,/dashboard/admin/instruments,Instrument and symbol master,"Manage securities, aliases, broker tokens, derivative contracts and effective dates without breaking historical identity.",Admin; data engineer,P1,Instrument table; aliases; broker mapping; effective dates; validation,Add alias; correct mapping; import,Security master; broker tokens,Duplicate token; overlapping alias; missing effective date,Virtualised grid,Historical resolution; no overwrite; import validation
ADM-005,Administration,/dashboard/admin/integrations,Integrations,"Configure and health-check SmartAPI, Google OAuth, notifications and other external interfaces without exposing secrets.",Admin; operator,P0,Integration cards; status; last success; scopes; rotation due,Test connection safely; rotate secret reference; disable,Integration config; health events,Credential missing; OAuth redirect mismatch; rate limit; webhook fail,Cards stack,Read-only SmartAPI test; secret redaction; fail closed
ADM-006,Administration,/dashboard/admin/audit,Audit log,"Search security, configuration, strategy, deployment, data and trading-ledger events with immutable identities.",Admin; auditor,P0,Audit table; filters; before/after; correlation; actor; source,Open event; export permitted cohort,Audit/event stores,Audit sink delayed; payload redacted; retention boundary,Virtualised table,No edit/delete; role scope; timezone display
