factor_id,hierarchy,component_group,factor_name,formula_summary,parameter_class,type,current_value,unit,permitted_min,permitted_max,low_level,centre_level,high_level,transformation,depends_on,invalid_combinations,likely_interactions,expected_direction,source,data_availability,reconstruction_status,leakage_risk
X_ELQ,XFactor,ELQ,Entry Location Quality,0.35 EntryZoneProximity + 0.30 ExtensionControl + 0.20 ObstacleRoom + 0.15 GapQuality,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.2,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,XFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
X_TCS,XFactor,TCS,Trigger Confirmation,0.30 PriceTrigger + 0.20 CandleQuality + 0.20 VolumeConfirmation + 0.20 HoldConfirmation + 0.10 OrderFlowConfirmation,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.16,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,XFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
X_SIQ,XFactor,SIQ,Stop and Invalidation Quality,0.35 StructuralStop + 0.30 StopDistance + 0.20 PositionSize + 0.15 SlippageTolerance,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.14,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,XFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
X_RRQ,XFactor,RRQ,Reward and Path Quality,0.45 AdjustedRR + 0.25 TargetCredibility + 0.20 PathClearance + 0.10 TimeFeasibility,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.14,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,XFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
X_MSS,XFactor,MSS,Market and Sector Synchronisation,0.30 MarketVWAP + 0.20 MarketMomentum + 0.30 SectorVWAP + 0.20 SectorMomentum,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.06,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,XFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
X_LSQ,XFactor,LSQ,Liquidity and Slippage Quality,0.35 Spread + 0.30 Depth + 0.20 Impact + 0.15 QuoteStability,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.06,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,XFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
X_TSQ,XFactor,TSQ,Timing and Session Quality,Effective-dated intraday timing score by setup type,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.03,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,XFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
X_IOQ,XFactor,IOQ,Instrument or Option Quality,Cash or option-specific contract quality composite,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.03,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,XFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
G_STALE_MARKET_DATA,GATE,HARD_GATE,Stale Market Data,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_OFACTOR_BELOW_MINIMUM,GATE,HARD_GATE,Ofactor Below Minimum,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_NO_VALID_SETUP,GATE,HARD_GATE,No Valid Setup,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_SETUP_FAILED,GATE,HARD_GATE,Setup Failed,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_SETUP_EXPIRED,GATE,HARD_GATE,Setup Expired,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_NO_STRUCTURAL_STOP,GATE,HARD_GATE,No Structural Stop,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_STOP_TOO_WIDE,GATE,HARD_GATE,Stop Too Wide,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_REWARD_RISK_BELOW_MINIMUM,GATE,HARD_GATE,Reward Risk Below Minimum,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_EXCESSIVE_EXTENSION,GATE,HARD_GATE,Excessive Extension,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_EXCESSIVE_UNCONFIRMED_GAP,GATE,HARD_GATE,Excessive Unconfirmed Gap,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_NEAR_OPPOSING_BARRIER,GATE,HARD_GATE,Near Opposing Barrier,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_INSUFFICIENT_LIQUIDITY,GATE,HARD_GATE,Insufficient Liquidity,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_INSUFFICIENT_MARKET_DEPTH,GATE,HARD_GATE,Insufficient Market Depth,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_OPTION_SPREAD_TOO_WIDE,GATE,HARD_GATE,Option Spread Too Wide,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_OPTION_CONTRACT_NOT_TRADABLE,GATE,HARD_GATE,Option Contract Not Tradable,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_BINARY_EVENT_RISK,GATE,HARD_GATE,Binary Event Risk,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
G_POSITION_SIZE_NOT_FEASIBLE,GATE,HARD_GATE,Position Size Not Feasible,Binary hard rejection or wait rule per XFactor specification,HARD_GATE,BINARY,1.0,enabled,0.0,1.0,0,1,1,none,gate-specific inputs,disabled outside inner discovery/adversarial ablation,"entry location, volatility, liquidity, timing",reduces trades; intended to improve risk,XFactor.docx,gate event and reason code required,PARTIAL_IN_CURRENT_RESULTS,low if evaluated point-in-time
T_O_MIN,OFactor,AGGREGATE_SCORE,OFactor qualification threshold,Threshold applied after score and gate calculation,AGGREGATE_THRESHOLD,CONTINUOUS,74.0,score points,55.0,90.0,65,74,82,none,formula version and score distribution,Tier-A <= Tier-B,OFactor x XFactor; thresholds x regime,higher threshold reduces trades; quality effect unknown,OFactor.docx,aggregate scores available in prior runs,AVAILABLE_AGGREGATE_ONLY,high if tuned on full history
T_X_B,XFactor,AGGREGATE_SCORE,XFactor Tier-B threshold,Threshold applied after score and gate calculation,AGGREGATE_THRESHOLD,CONTINUOUS,76.0,score points,58.0,90.0,68,76,84,none,formula version and score distribution,Tier-A <= Tier-B,OFactor x XFactor; thresholds x regime,higher threshold reduces trades; quality effect unknown,XFactor.docx,aggregate scores available in prior runs,AVAILABLE_AGGREGATE_ONLY,high if tuned on full history
T_X_A,XFactor,AGGREGATE_SCORE,XFactor Tier-A threshold,Threshold applied after score and gate calculation,AGGREGATE_THRESHOLD,CONTINUOUS,84.0,score points,76.0,96.0,80,84,90,none,formula version and score distribution,Tier-A <= Tier-B,OFactor x XFactor; thresholds x regime,higher threshold reduces trades; quality effect unknown,XFactor.docx,aggregate scores available in prior runs,AVAILABLE_AGGREGATE_ONLY,high if tuned on full history
T_X_GAP,XFactor,AGGREGATE_SCORE,Tier-A minus Tier-B gap,Threshold applied after score and gate calculation,DERIVED_THRESHOLD,CONTINUOUS,8.0,score points,2.0,20.0,4,8,14,none,formula version and score distribution,Tier-A <= Tier-B,OFactor x XFactor; thresholds x regime,higher threshold reduces trades; quality effect unknown,Current configuration hypothesis,aggregate scores available in prior runs,AVAILABLE_AGGREGATE_ONLY,high if tuned on full history
F_UNDEFINED,FFactor,UNDEFINED,FFactor,No authoritative definition located in supplied OIIS code/specification/data,UNDEFINED,UNDEFINED,,,,,,,,,,all attribution prohibited until formally defined,,not estimable,Pasted text(3).txt and supplied OIIS sources,not available,STOP_BRANCH_UNDEFINED,not applicable
